School Name,Latitude,Longitude,Curriculum,Grades,Year Established in Dubai,2023/24 Enrollments,Average Tuition,Max Tuition
Pace Modern British School L.L.C,25.2297309,55.3831988,UK,FS1-Y8,2021,900,23105.72727,26800
Pakistan Educational Academy,25.241917,55.316989,Pakistani,KG1-G12,1983,1558,6963.428571,8928
Pearl Wisdom School L.L.C,25.27815056,55.34455872,Indian,KG1-G8,2020,815,17638.45455,19570
Philadelphia Private School,25.278906,55.402194,American,KG1-G12,2006,990,27037.2,38176.5
Primus Private School L.L.C,25.186925,55.402725,Indian,Pre Primary-G12,2008,1451,17799.13333,24022
Pristine Private School,25.293458,55.375039,UK,FS1-Y13,1992,2001,18490.93333,28533
Queen International School,25.283108,55.348792,UK (12 Y - Grades),KG1-G12,1998,684,18997.21429,28500
Raffles International School L.L.C (Umm Suqeim South Br),25.136467,55.194503,UK,FS1-Y13,2008,1362,60495.93333,85861
Raffles World Academy,25.14021286,55.19649657,International Baccalaureate,Pre Primary-G12,2008,1999,60653.2,91766
Ranches Primary School,25.02964973,55.27085114,UK,FS1-Y6,2015,935,57490.5,60228
Rashid and Latifa Schools,25.15119461,55.3134266,UK,FS1-Y6,2024,,0,0
Regent International Private School L.L.C,25.088125,55.173753,UK,FS1-Y13,1992,1516,68744.26667,101251
Renaissance School L.L.C,25.04025078,55.22462082,American,Pre Primary-G7,2018,590,46106.36364,56650
Repton Al Barsha Fz-Llc,25.07964706,55.24266052,UK,FS1-Y11,2013,1331,74654,87713
Repton School,25.145306,55.378833,UK/IB,FS1-Y13,2007,2329,77072.53333,100394
Royal Grammar School Guildford L.L.C,25.03363991,55.2314682,UK,FS1-Y8,2021,1272,96529.5,116964
Russian International School,25.282619,55.404694,Russian,KG1-G11,2006,502,21511.23077,24602
Sabari Indian School L.L.C,25.29003,55.341101,Indian,Pre Primary-G10,2013,777,17039.35714,19141
Safa British School,25.17795386,55.24101601,UK,FS1-Y10,2005,1464,58575.85714,71861
Safa Community School,25.06108856,55.24808121,UK/IB,FS1-Y13,2014,2362,67182.26667,87386
Sharjah American International Private school,25.185614,55.403222,American,KG1-G12,2005,2073,28135.57143,43906
